writer_id,split
1,val
2,train
3,train
4,test
5,test
6,train
7,train
8,train
9,train
10,train
11,train
12,test
13,train
14,test
15,test
16,train
17,train
18,test
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,val
27,train
28,test
29,test
30,test
31,train
32,test
33,train
34,train
35,train
36,test
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,val
55,test
56,train
57,train
58,val
59,train
60,train
61,train
62,train
63,train
64,train
65,test
66,train
67,train
68,train
69,train
70,test
71,train
72,val
73,train
74,train
75,train
76,test
77,train
78,val
79,train
80,train
81,train
82,test
83,train
84,train
85,val
86,train
87,test
88,train
89,test
90,val
91,train
92,train
93,train
94,val
95,test
96,val
97,train
98,test
99,train
100,train
