writer_id,split
1,train
2,test
3,train
4,train
5,train
6,val
7,test
8,test
9,test
10,train
11,val
12,train
13,val
14,train
15,train
16,val
17,train
18,train
19,train
20,train
21,train
22,train
23,test
24,test
25,train
26,train
27,test
28,train
29,test
30,train
31,train
32,train
33,train
34,val
35,train
36,test
37,train
38,train
39,train
40,test
41,test
42,train
43,train
44,train
45,val
46,val
47,train
48,train
49,val
50,train
51,test
52,train
53,train
54,train
55,train
56,test
57,test
58,test
59,val
60,test
61,train
62,train
63,test
64,train
65,train
66,train
67,train
68,train
69,val
70,train
71,test
72,test
73,train
74,train
75,train
76,train
77,train
78,val
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,test
88,test
89,train
90,train
91,train
92,train
93,train
94,val
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,val
105,train
106,train
107,train
108,test
109,test
110,train
111,train
112,train
113,train
114,train
115,test
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,val
128,train
129,train
130,test
131,train
132,train
133,train
134,train
135,val
136,train
137,train
138,test
139,train
140,test
141,train
142,train
143,train
144,train
145,train
146,train
147,test
148,val
149,train
150,train
151,test
152,train
153,test
154,test
155,train
156,train
157,train
158,train
159,test
160,train
