writer_id,split
1,train
2,test
3,test
4,train
5,train
6,train
7,test
8,train
9,test
10,train
11,val
12,train
13,train
14,test
15,test
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,test
24,train
25,val
26,train
27,test
28,train
29,train
30,test
31,train
32,train
33,test
34,train
35,train
36,train
37,train
38,train
39,test
40,test
41,train
42,val
43,train
44,train
45,train
46,train
47,train
48,test
49,train
50,train
51,val
52,val
53,train
54,train
55,train
56,train
57,train
58,val
59,train
60,train
61,test
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,val
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,test
81,val
82,train
83,train
84,val
85,train
86,train
87,test
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,test
98,train
99,train
100,train
101,test
102,test
103,test
104,train
105,train
106,val
107,train
108,train
109,test
110,train
111,val
112,val
113,train
114,test
115,train
116,train
117,train
118,val
119,val
120,train
121,train
122,train
123,test
124,train
125,train
126,train
127,train
128,val
129,test
130,train
131,test
132,test
133,train
134,val
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,test
149,train
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,test
158,train
159,test
160,train
161,train
162,train
163,test
164,test
165,val
166,train
167,train
168,train
169,val
170,train
171,train
172,test
173,train
174,train
175,train
176,train
177,train
178,test
179,train
180,train
181,test
182,test
183,train
184,train
185,train
186,train
187,val
188,test
189,train
190,test
191,train
192,train
193,test
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,test
207,train
208,test
209,test
210,train
211,val
212,train
213,train
214,val
215,train
216,train
217,train
218,train
219,train
220,val
221,train
222,test
223,train
224,val
225,train
226,train
227,train
228,train
229,train
230,test
231,train
232,train
233,test
234,train
235,test
236,train
237,train
238,test
239,train
240,test
241,test
242,test
243,train
244,train
245,val
246,train
247,val
248,train
249,test
250,test
251,train
252,train
253,train
254,train
255,train
256,val
257,train
258,train
259,train
260,train
261,test
262,train
263,test
264,val
265,train
266,train
267,train
268,val
269,train
270,train
271,train
272,test
273,train
274,train
275,train
276,train
277,test
278,train
279,test
280,train
281,test
282,test
283,val
284,test
285,test
286,train
287,test
288,train
289,train
290,train
291,test
292,val
293,test
294,train
295,train
296,train
297,train
298,test
299,test
300,train
301,test
302,train
303,train
304,val
305,train
306,train
307,train
308,val
309,test
310,train
311,train
312,val
313,train
314,train
315,train
316,train
317,train
318,test
319,train
320,train
321,train
322,train
323,test
324,train
325,train
326,train
327,test
328,train
329,test
330,val
331,val
332,train
333,val
334,train
335,train
336,test
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,val
345,train
346,train
347,train
348,test
349,val
350,train
351,test
352,train
353,train
354,train
355,val
356,train
357,test
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
