writer_id,genuine,forgery,mismatched_files,unrecognized_files
1,24,30,,
2,24,30,,
3,24,30,,
4,24,30,,
5,24,30,,
6,24,30,,
7,24,30,,
8,24,30,,
9,24,30,,
10,24,30,,
11,24,30,,
12,24,30,,
13,24,30,,
14,24,30,,
15,24,30,,
16,24,30,,
17,24,30,,
18,24,30,,
19,24,30,,
20,24,30,,
21,24,30,,
22,24,30,,
23,24,30,,
24,24,30,,
25,24,30,,
26,24,30,,
27,24,30,,
28,24,30,,
29,24,30,,
30,24,30,,
31,24,30,,
32,24,30,,
33,24,30,,
34,24,30,,
35,24,30,,
36,24,30,,
37,24,30,,
38,24,30,,
39,24,30,,
40,24,30,,
41,24,30,,
42,24,30,,
43,24,30,,
44,24,30,,
45,24,30,,
46,24,30,,
47,24,30,,
48,24,30,,
49,24,30,,
50,24,30,,
51,24,30,,
52,24,30,,
53,24,30,,
54,24,30,,
55,24,30,,
56,24,30,,
57,24,30,,
58,24,30,,
59,24,30,,
60,24,30,,
61,24,30,,
62,24,30,,
63,24,30,,
64,24,30,,
65,24,30,,
66,24,30,,
67,24,30,,
68,24,30,,
69,24,30,,
70,24,30,,
71,24,30,,
72,24,30,,
73,24,30,,
74,24,30,,
75,24,30,,
76,24,30,,
77,24,30,,
78,24,30,,
79,24,30,,
80,24,30,,
81,24,30,,
82,24,30,,
83,24,30,,
84,24,30,,
85,24,30,,
86,24,30,,
87,24,30,,
88,24,30,,
89,24,30,,
90,24,30,,
91,24,30,,
92,24,30,,
93,24,30,,
94,24,30,,
95,24,30,,
96,24,30,,
97,24,30,,
98,24,30,,
99,24,30,,
100,24,30,,
