writer_id,genuine,forgery,mismatched_files,unrecognized_files
1,24,30,,
2,24,30,,
3,24,30,,
4,24,30,,
5,24,30,,
6,24,30,,
7,24,30,,
8,24,30,,
9,24,30,,
10,24,30,,
11,24,30,,
12,24,30,,
13,24,30,,
14,24,30,,
15,24,30,,
16,24,30,,
17,24,30,,
18,24,30,,
19,24,30,,
20,24,30,,
21,24,30,,
22,24,30,,
23,24,30,,
24,24,30,,
25,24,30,,
26,24,30,,
27,24,30,,
28,24,30,,
29,24,30,,
30,24,30,,
31,24,30,,
32,24,30,,
33,24,30,,
34,24,30,,
35,24,30,,
36,24,30,,
37,24,30,,
38,24,30,,
39,24,30,,
40,24,30,,
41,24,30,,
42,24,30,,
43,24,30,,
44,24,30,,
45,24,30,,
46,24,30,,
47,24,30,,
48,24,30,,
49,24,30,,
50,24,30,,
51,24,30,,
52,24,30,,
53,24,30,,
54,24,30,,
55,24,30,,
56,24,30,,
57,24,30,,
58,24,30,,
59,24,30,,
60,24,30,,
61,24,30,,
62,24,30,,
63,24,30,,
64,24,30,,
65,24,30,,
66,24,30,,
67,24,30,,
68,24,30,,
69,24,30,,
70,24,30,,
71,24,30,,
72,24,30,,
73,24,30,,
74,24,30,,
75,24,30,,
76,24,30,,
77,24,30,,
78,24,30,,
79,24,30,,
80,24,30,,
81,24,30,,
82,24,30,,
83,24,30,,
84,24,30,,
85,24,30,,
86,24,30,,
87,24,30,,
88,24,30,,
89,24,30,,
90,24,30,,
91,24,30,,
92,24,30,,
93,24,30,,
94,24,30,,
95,24,30,,
96,24,30,,
97,24,30,,
98,24,30,,
99,24,30,,
100,24,30,,
101,24,30,,
102,24,30,,
103,24,30,,
104,24,30,,
105,24,30,,
106,24,30,,
107,24,30,,
108,24,30,,
109,24,30,,
110,24,30,,
111,24,30,,
112,24,30,,
113,24,30,,
114,24,30,,
115,24,30,,
116,24,30,,
117,24,30,,
118,24,30,,
119,24,30,,
120,24,30,,
121,24,30,,
122,24,30,,
123,24,30,"H-S-124-G-01.tif (claims writer 124, in folder 123) | H-S-124-G-02.tif (claims writer 124, in folder 123) | H-S-124-G-03.tif (claims writer 124, in folder 123) | H-S-124-G-04.tif (claims writer 124, in folder 123) | H-S-124-G-05.tif (claims writer 124, in folder 123) | H-S-124-G-06.tif (claims writer 124, in folder 123) | H-S-124-G-07.tif (claims writer 124, in folder 123) | H-S-124-G-08.tif (claims writer 124, in folder 123) | H-S-124-G-09.tif (claims writer 124, in folder 123) | H-S-124-G-10.tif (claims writer 124, in folder 123) | H-S-124-G-11.tif (claims writer 124, in folder 123) | H-S-124-G-12.tif (claims writer 124, in folder 123) | H-S-124-G-13.tif (claims writer 124, in folder 123) | H-S-124-G-14.tif (claims writer 124, in folder 123) | H-S-124-G-15.tif (claims writer 124, in folder 123) | H-S-124-G-16.tif (claims writer 124, in folder 123) | H-S-124-G-17.tif (claims writer 124, in folder 123) | H-S-124-G-18.tif (claims writer 124, in folder 123) | H-S-124-G-19.tif (claims writer 124, in folder 123) | H-S-124-G-20.tif (claims writer 124, in folder 123) | H-S-124-G-21.tif (claims writer 124, in folder 123) | H-S-124-G-22.tif (claims writer 124, in folder 123) | H-S-124-G-23.tif (claims writer 124, in folder 123) | H-S-124-G-24.tif (claims writer 124, in folder 123)",
124,24,30,,
125,24,30,,
126,24,30,,
127,24,30,,
128,24,30,,
129,24,30,,
130,24,30,,
131,24,30,,
132,24,30,,
133,24,30,,
134,24,30,,
135,24,30,,
136,24,30,,
137,24,30,,
138,24,30,,
139,24,30,,
140,24,30,,
141,24,30,,
142,24,30,,
143,24,30,,
144,24,30,,
145,24,30,,
146,24,30,,
147,24,30,,
148,24,30,,
149,24,30,,
150,24,30,,
151,24,30,,
152,24,30,,
153,24,30,,
154,24,30,,
155,24,30,,
156,24,30,,
157,24,30,,
158,24,30,,
159,24,30,,
160,24,30,,
