writer_id,genuine,forgery,mismatched_files,unrecognized_files
1,24,24,,
2,24,24,,
3,24,24,,
4,24,24,,
5,24,24,,
6,24,24,,
7,24,24,,
8,24,24,,
9,24,24,,
10,24,24,,
11,24,24,,
12,24,24,,
13,24,24,,
14,24,24,,
15,24,24,,
16,24,24,,
17,24,24,,
18,24,24,,
19,24,24,,
20,24,24,,
21,24,24,,
22,24,24,,
23,24,24,,
24,24,24,,
25,24,24,,
26,24,24,,
27,24,24,,
28,24,24,,
29,24,24,,
30,24,24,,
31,24,24,,
32,24,24,,
33,24,24,,
34,24,24,,
35,24,24,,
36,24,24,,
37,24,24,,
38,24,24,,
39,24,24,,
40,24,24,,
41,24,24,,
42,24,24,,
43,24,24,,
44,24,24,,
45,24,24,,
46,24,24,,
47,24,24,,
48,24,24,,
49,24,24,,
50,24,24,,
51,24,24,,
52,24,24,,
53,24,24,,
54,24,24,,
55,24,24,,
