writer_id,genuine,forgery,mismatched_files,unrecognized_files
1,24,30,,
2,24,30,,
3,24,30,,
4,24,30,,
5,24,30,,
6,24,30,,
7,24,30,,
8,24,30,,
9,24,30,,
10,24,30,,
11,24,30,,
12,24,30,,
13,24,30,,
14,24,30,,
15,24,30,,
16,24,30,,
17,24,30,,
18,24,30,,
19,24,30,,
20,24,30,,
21,24,30,,
22,24,30,,
23,24,30,,
24,24,30,,
25,24,30,,
26,24,30,,
27,24,30,,
28,24,30,,
29,24,30,,
30,24,30,,
31,24,30,,
32,24,30,,
33,24,30,,
34,24,30,,
35,24,30,,
36,24,30,,
37,24,30,,
38,24,30,,
39,24,30,,
40,24,30,,
41,24,30,,
42,24,30,,
43,24,30,,
44,24,30,,
45,24,30,,
46,24,30,,
47,24,30,,
48,24,30,,
49,24,30,,
50,24,30,,
51,24,30,,
52,24,30,,
53,24,30,,
54,24,30,,
55,24,30,,
56,24,30,,
57,24,30,,
58,24,30,,
59,24,30,,
60,24,30,,
61,24,30,,
62,24,30,,
63,24,30,,
64,24,30,,
65,24,30,,
66,24,30,,
67,24,30,,
68,24,30,,
69,24,30,,
70,24,30,,
71,24,30,,
72,24,30,,
73,24,30,,
74,24,30,,
75,24,30,,
76,24,30,,
77,24,30,,
78,24,30,,
79,24,30,,
80,24,30,,
81,24,30,,
82,24,30,,
83,24,30,,
84,24,30,,
85,24,30,,
86,24,30,,
87,24,30,,
88,24,30,,
89,24,30,,
90,24,30,,
91,24,30,,
92,24,30,,
93,24,30,,
94,24,30,,
95,24,30,,
96,24,30,,
97,24,30,,
98,24,30,,
99,24,30,,
100,24,30,,
101,24,30,,
102,24,30,,
103,24,30,,
104,24,30,,
105,24,30,,
106,24,30,,
107,24,30,,
108,24,30,,
109,24,30,,
110,24,30,,
111,24,30,,
112,24,30,,
113,24,30,,
114,24,30,,
115,24,30,,
116,24,30,,
117,24,30,,
118,24,30,,
119,24,30,,
120,24,30,,
121,24,30,,
122,24,30,,
123,24,30,,
124,24,30,,
125,24,30,,
126,24,30,,
127,24,30,,
128,24,30,,
129,24,30,,
130,24,30,,
131,24,30,,
132,24,30,,
133,24,30,,
134,24,30,,
135,24,30,,
136,24,30,,
137,24,30,,
138,24,30,,
139,24,30,,
140,24,30,,
141,24,30,,
142,24,30,,
143,24,30,,
144,24,30,,
145,24,30,,
146,24,30,,
147,24,30,,
148,24,30,,
149,24,30,,
150,24,30,,
151,24,30,,
152,24,30,,
153,24,30,,
154,24,30,,
155,24,30,,
156,24,30,,
157,24,30,,
158,24,30,,
159,24,30,,
160,24,30,,
161,24,30,,
162,24,30,,
163,24,30,,
164,24,30,,
165,24,30,,
166,24,30,,
167,24,30,,
168,24,30,,
169,24,30,,
170,24,30,,
171,24,30,,
172,24,30,,
173,24,30,,
174,24,30,,
175,24,30,,
176,24,30,,
177,24,30,,
178,24,30,,
179,24,30,,
180,24,30,,
181,24,30,,
182,24,30,,
183,24,30,,
184,24,30,,
185,24,30,,
186,24,30,,
187,24,30,,
188,24,30,,
189,24,30,,
190,24,30,,
191,24,30,,
192,24,30,,
193,24,30,,
194,24,30,,
195,24,30,,
196,24,30,,
197,24,30,,
198,24,30,,
199,24,30,,
200,24,30,,
201,24,30,,
202,24,30,,
203,24,30,,
204,24,30,,
205,24,30,,
206,24,30,,
207,24,30,,
208,24,30,,
209,24,30,,
210,24,30,,
211,24,30,,
212,24,30,,
213,24,30,,
214,24,30,,
215,24,30,,
216,24,30,,
217,24,30,,
218,24,30,,
219,24,30,,
220,24,30,,
221,24,30,,
222,24,30,,
223,24,30,,
224,24,30,,
225,24,30,,
226,24,30,,
227,24,30,,
228,24,30,,
229,24,30,,
230,24,30,,
231,24,30,,
232,24,30,,
233,24,30,,
234,24,30,,
235,24,30,,
236,24,30,,
237,24,30,,
238,24,30,,
239,24,30,,
240,24,30,,
241,24,30,,
242,24,30,,
243,24,30,,
244,24,30,,
245,24,30,,
246,24,30,,
247,24,30,,
248,24,30,,
249,24,30,,
250,24,30,,
251,24,30,,
252,24,30,,
253,24,30,,
254,24,30,,
255,24,30,,
256,24,30,,
257,24,30,,
258,24,30,,
259,24,30,,
260,24,30,,
261,24,30,,
262,24,30,,
263,24,30,,
264,24,30,,
265,24,30,,
266,24,30,,
267,24,30,,
268,24,30,,
269,24,30,,
270,24,30,,
271,24,30,,
272,24,30,,
273,24,30,,
274,24,30,,
275,24,30,,
276,24,30,,
277,24,30,,
278,24,30,,
279,24,30,,
280,24,30,,
281,24,30,,
282,24,30,,
283,24,30,,
284,24,30,,
285,24,30,,
286,24,30,,
287,24,30,,
288,24,30,,
289,24,30,,
290,24,30,,
291,24,30,,
292,24,30,,
293,24,30,,
294,24,30,,
295,24,30,,
296,24,30,,
297,24,30,,
298,24,30,,
299,24,30,,
300,24,30,,
301,24,30,,
302,24,30,,
303,24,30,,
304,24,30,,
305,24,30,,
306,24,30,,
307,24,30,,
308,24,30,,
309,24,30,,
310,24,30,,
311,24,30,,
312,24,30,,
313,24,30,,
314,24,30,,
315,24,30,,
316,24,30,,
317,24,30,,
318,24,30,,
319,24,30,,
320,24,30,,
321,24,30,,
322,24,30,,
323,24,30,,
324,24,30,,
325,24,30,,
326,24,30,,
327,24,30,,
328,24,30,,
329,24,30,,
330,24,30,,
331,24,30,,
332,24,30,,
333,24,30,,
334,24,30,,
335,24,30,,
336,24,30,,
337,24,30,,
338,24,30,,
339,24,30,,
340,24,30,,
341,24,30,,
342,24,30,,
343,24,30,,
344,24,30,,
345,24,30,,
346,24,30,,
347,24,30,,
348,24,30,,
349,24,30,,
350,24,30,,
351,24,30,,
352,24,30,,
353,24,30,,
354,24,30,,
355,24,30,,
356,24,30,,
357,24,30,,
358,24,30,,
359,24,30,,
360,24,30,,
361,24,30,,
362,24,30,,
363,24,30,,
364,24,30,,
365,24,30,,
366,24,30,,
367,24,30,,
368,24,30,,
369,24,30,,
370,24,30,,
371,24,30,,
372,24,30,,
373,24,30,,
374,24,30,,
375,24,30,,
376,24,30,,
377,24,30,,
378,24,30,,
379,24,30,,
380,24,30,,
381,24,30,,
382,24,30,,
383,24,30,,
384,24,30,,
385,24,30,,
386,24,30,,
387,24,30,,
388,24,30,,
389,24,30,,
390,24,30,,
391,24,30,,
392,24,30,,
393,24,30,,
394,24,30,,
395,24,30,,
