writer_id,inst_path,gpds_path,shape_inst,shape_gpds,mad,frac_diff_gt10,ncc,verdict
3357,signature_verification/full_forg/forgeries_3357_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3357/cf-3357-13.jpg,220x155,793x392,0.3057,0.0002,0.9986,same image (re-encoded)
3322,signature_verification/full_org/original_3322_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3322/c-3322-08.jpg,220x155,775x573,0.3539,0.0012,0.9975,same image (re-encoded)
1850,signature_verification/full_forg/forgeries_1850_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1850/cf-1850-18.jpg,220x155,803x827,1.4432,0.0448,0.9803,distinct
1252,signature_verification/full_forg/forgeries_1252_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1252/cf-1252-09.jpg,220x155,884x588,0.3727,0.0013,0.9978,same image (re-encoded)
3000,signature_verification/full_forg/forgeries_3000_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3000/cf-3000-14.jpg,220x155,979x854,1.1648,0.0436,0.9871,distinct
975,signature_verification/full_forg/forgeries_975_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/975/cf-975-24.jpg,220x155,1189x723,0.404,0.0074,0.9938,same image (re-encoded)
2256,signature_verification/full_forg/forgeries_2256_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2256/cf-2256-10.jpg,220x155,927x581,0.508,0.0043,0.9955,same image (re-encoded)
3129,signature_verification/full_org/original_3129_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3129/c-3129-17.jpg,220x155,861x425,0.7196,0.0206,0.9974,distinct
2961,signature_verification/full_forg/forgeries_2961_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2961/cf-2961-12.jpg,220x155,1318x522,1.399,0.0484,0.9926,distinct
2602,signature_verification/full_forg/forgeries_2602_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2602/cf-2602-04.jpg,220x155,858x420,0.6223,0.0219,0.998,distinct
1478,signature_verification/full_forg/forgeries_1478_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1478/cf-1478-18.jpg,220x155,735x431,1.2177,0.0456,0.9948,distinct
2098,signature_verification/full_forg/forgeries_2098_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2098/cf-2098-23.jpg,220x155,872x903,1.0746,0.0385,0.9848,distinct
3050,signature_verification/full_forg/forgeries_3050_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3050/cf-3050-02.jpg,220x155,1068x584,0.8859,0.0335,0.9923,distinct
2610,signature_verification/full_forg/forgeries_2610_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2610/cf-2610-05.jpg,220x155,1076x1030,1.3684,0.0506,0.9876,distinct
15,signature_verification/full_org/original_15_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/015/c-015-15.jpg,220x155,821x557,0.7551,0.0282,0.9975,distinct
202,signature_verification/full_forg/forgeries_202_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/202/cf-202-18.jpg,220x155,720x853,1.0234,0.0372,0.9883,distinct
3327,signature_verification/full_forg/forgeries_3327_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3327/cf-3327-29.jpg,220x155,907x419,0.3478,0.0056,0.999,same image (re-encoded)
1028,signature_verification/full_forg/forgeries_1028_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1028/cf-1028-11.jpg,220x155,857x333,0.6508,0.0214,0.9938,distinct
2237,signature_verification/full_forg/forgeries_2237_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2237/cf-2237-28.jpg,220x155,768x671,0.3598,0.0018,0.997,same image (re-encoded)
794,signature_verification/full_forg/forgeries_794_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/794/cf-794-19.jpg,220x155,631x491,0.8193,0.0284,0.9985,distinct
2014,signature_verification/full_org/original_2014_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2014/c-2014-11.jpg,220x155,786x868,0.7336,0.0245,0.997,distinct
1391,signature_verification/full_org/original_1391_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1391/c-1391-20.jpg,220x155,948x357,0.3652,0.0008,0.998,same image (re-encoded)
1304,signature_verification/full_forg/forgeries_1304_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1304/cf-1304-07.jpg,220x155,1253x1016,1.2921,0.0489,0.9897,distinct
2326,signature_verification/full_org/original_2326_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2326/c-2326-23.jpg,220x155,807x408,0.4877,0.0038,0.9993,same image (re-encoded)
2664,signature_verification/full_org/original_2664_2.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2664/c-2664-02.jpg,220x155,699x322,0.6639,0.0222,0.9954,distinct
538,signature_verification/full_forg/forgeries_538_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/538/cf-538-04.jpg,220x155,1082x720,0.5005,0.0167,0.9836,distinct
3481,signature_verification/full_org/original_3481_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3481/c-3481-15.jpg,220x155,676x570,0.5504,0.0012,0.9977,same image (re-encoded)
