writer_id,genuine_count,forged_count,total
1,12,16,28
2,12,16,28
3,12,16,28
4,12,16,28
5,12,16,28
6,12,16,28
7,12,16,28
8,12,16,28
9,12,16,28
10,12,16,28
11,12,16,28
12,12,16,28
13,12,16,28
14,12,16,28
15,12,16,28
16,12,16,28
17,12,16,28
18,12,16,28
19,12,16,28
20,12,16,28
21,12,16,28
22,12,16,28
23,12,16,28
24,12,16,28
25,12,16,28
26,12,16,28
27,12,16,28
28,12,16,28
29,12,16,28
30,12,16,28
31,12,16,28
32,12,16,28
33,12,16,28
34,12,16,28
35,12,16,28
36,12,16,28
37,12,16,28
38,12,16,28
39,12,16,28
40,12,16,28
41,12,16,28
42,12,16,28
43,12,16,28
44,12,16,28
45,12,16,28
46,12,16,28
47,12,16,28
48,12,16,28
49,12,16,28
50,12,16,28
51,12,16,28
52,12,16,28
53,12,16,28
54,12,16,28
55,12,16,28
56,12,16,28
57,12,16,28
58,12,16,28
59,12,16,28
60,12,16,28
61,12,16,28
62,12,16,28
63,12,16,28
64,12,16,28
65,12,16,28
66,12,16,28
67,12,16,28
68,12,16,28
69,12,16,28
70,12,16,28
71,12,16,28
72,12,16,28
73,12,16,28
74,12,16,28
75,12,16,28
76,12,16,28
77,12,16,28
78,12,16,28
79,12,16,28
80,12,16,28
81,12,16,28
82,12,16,28
83,12,16,28
84,12,16,28
85,12,16,28
86,12,16,28
87,12,16,28
88,12,16,28
89,12,16,28
90,12,16,28
91,12,16,28
92,12,16,28
93,12,16,28
94,12,16,28
95,12,16,28
96,12,16,28
97,12,16,28
98,12,16,28
99,12,16,28
100,12,16,28
101,12,16,28
102,12,16,28
103,12,16,28
104,12,16,28
105,12,16,28
106,12,16,28
107,12,16,28
108,12,16,28
109,12,16,28
110,12,16,28
111,12,16,28
112,12,16,28
113,12,16,28
114,12,16,28
115,12,16,28
116,12,16,28
117,12,16,28
118,12,16,28
119,12,16,28
120,12,16,28
121,12,16,28
122,12,16,28
123,12,16,28
124,12,16,28
125,12,16,28
126,12,16,28
127,12,16,28
128,12,16,28
129,12,16,28
130,12,16,28
131,12,16,28
132,12,16,28
133,12,16,28
134,12,16,28
135,12,16,28
136,12,16,28
137,12,16,28
138,12,16,28
139,12,16,28
140,12,16,28
141,12,16,28
142,12,16,28
143,12,16,28
144,12,16,28
145,12,16,28
146,12,16,28
147,12,16,28
148,12,16,28
149,12,16,28
150,12,16,28
151,12,16,28
152,12,16,28
153,12,16,28
154,12,16,28
155,12,16,28
156,12,16,28
157,12,16,28
158,12,16,28
159,12,16,28
160,12,16,28
161,12,16,28
162,12,16,28
163,12,16,28
164,12,16,28
165,12,16,28
166,12,16,28
167,12,16,28
168,12,16,28
169,12,16,28
170,12,16,28
171,12,16,28
172,12,16,28
173,12,16,28
174,12,16,28
175,12,16,28
176,12,16,28
177,12,16,28
178,12,16,28
179,12,16,28
180,12,16,28
181,12,16,28
182,12,16,28
183,12,16,28
184,12,16,28
185,12,16,28
186,12,16,28
187,12,16,28
188,12,16,28
189,12,16,28
190,12,16,28
191,12,16,28
192,12,16,28
193,12,16,28
194,12,16,28
195,12,16,28
196,12,16,28
197,12,16,28
198,12,16,28
199,12,16,28
200,12,16,28
201,12,16,28
202,12,16,28
203,12,16,28
204,12,16,28
205,12,16,28
206,12,16,28
207,12,16,28
208,12,16,28
209,12,16,28
210,12,16,28
211,12,16,28
212,12,16,28
213,12,16,28
214,12,16,28
215,12,16,28
216,12,16,28
217,12,16,28
218,12,16,28
219,12,16,28
220,12,16,28
221,12,16,28
222,12,16,28
223,12,16,28
224,12,16,28
225,12,16,28
226,12,16,28
227,12,16,28
228,12,16,28
229,12,16,28
230,12,16,28
231,12,16,28
232,12,16,28
233,12,16,28
234,12,16,28
235,12,16,28
236,12,16,28
237,12,16,28
238,12,16,28
239,12,16,28
240,12,16,28
241,12,16,28
242,12,16,28
243,12,16,28
244,12,16,28
245,12,16,28
246,12,16,28
247,12,16,28
248,12,16,28
249,12,16,28
250,12,16,28
251,12,16,28
252,12,16,28
253,12,16,28
254,12,16,28
255,12,16,28
256,12,16,28
257,12,16,28
258,12,16,28
259,12,16,28
260,12,16,28
261,12,16,28
262,12,16,28
263,12,16,28
264,12,16,28
265,12,16,28
266,12,16,28
267,12,16,28
268,12,16,28
269,12,16,28
270,12,16,28
271,12,16,28
272,12,16,28
273,12,16,28
274,12,16,28
275,12,16,28
276,12,16,28
277,12,16,28
278,12,16,28
279,12,16,28
280,12,16,28
281,12,16,28
282,12,16,28
283,12,16,28
284,12,16,28
285,12,16,28
286,12,16,28
287,12,16,28
288,12,16,28
289,12,16,28
290,12,16,28
291,12,16,28
292,12,16,28
293,12,16,28
294,12,16,28
295,12,16,28
296,12,16,28
297,12,16,28
298,12,16,28
299,12,16,28
300,12,16,28
301,12,16,28
302,12,16,28
303,12,16,28
304,12,16,28
305,12,16,28
306,12,16,28
307,12,16,28
308,12,16,28
309,12,16,28
310,12,16,28
311,12,16,28
312,12,16,28
313,12,16,28
314,12,16,28
315,12,16,28
316,12,16,28
317,12,16,28
318,12,16,28
319,12,16,28
320,12,16,28
321,12,16,28
322,12,16,28
323,12,16,28
324,12,16,28
325,12,16,28
326,12,16,28
327,12,16,28
328,12,16,28
329,12,16,28
330,12,16,28
331,12,16,28
332,12,16,28
333,12,16,28
334,12,16,28
335,12,16,28
336,12,16,28
337,12,16,28
338,12,16,28
339,12,16,28
340,12,16,28
341,12,16,28
342,12,16,28
343,12,16,28
344,12,16,28
345,12,16,28
346,12,16,28
347,12,16,28
348,12,16,28
349,12,16,28
350,12,16,28
351,12,16,28
352,12,16,28
353,12,16,28
354,12,16,28
355,12,16,28
356,12,16,28
357,12,16,28
358,12,16,28
359,12,16,28
360,12,16,28
361,12,16,28
362,12,16,28
363,12,16,28
364,12,16,28
365,12,16,28
366,12,16,28
367,12,16,28
368,12,16,28
369,12,16,28
370,12,16,28
371,12,16,28
372,12,16,28
373,12,16,28
374,12,16,28
375,12,16,28
376,12,16,28
377,12,16,28
378,12,16,28
379,12,16,28
380,12,16,28
381,12,16,28
382,12,16,28
383,12,16,28
384,12,16,28
385,12,16,28
386,12,16,28
387,12,16,28
388,12,16,28
389,12,16,28
390,12,16,28
391,12,16,28
392,12,16,28
393,12,16,28
394,12,16,28
395,12,16,28
396,12,16,28
397,12,16,28
398,12,16,28
399,12,16,28
400,12,16,28
401,12,16,28
402,12,16,28
403,12,16,28
404,12,16,28
405,12,16,28
406,12,16,28
407,12,16,28
408,12,16,28
409,12,16,28
410,12,16,28
411,12,16,28
412,12,16,28
413,12,16,28
414,12,16,28
415,12,16,28
416,12,16,28
417,12,16,28
418,12,16,28
419,12,16,28
420,12,16,28
421,12,16,28
422,12,16,28
423,12,16,28
424,12,16,28
425,12,16,28
426,12,16,28
427,12,16,28
428,12,16,28
429,12,16,28
430,12,16,28
431,12,16,28
432,12,16,28
433,12,16,28
434,12,16,28
435,12,16,28
436,12,16,28
437,12,16,28
438,12,16,28
439,12,16,28
440,12,16,28
441,12,16,28
442,12,16,28
443,12,16,28
444,12,16,28
445,12,16,28
446,12,16,28
447,12,16,28
448,12,16,28
449,12,16,28
450,12,16,28
451,12,16,28
452,12,16,28
453,12,16,28
454,12,16,28
455,12,16,28
456,12,16,28
457,12,16,28
458,12,16,28
459,12,16,28
460,12,16,28
461,12,16,28
462,12,16,28
463,12,16,28
464,12,16,28
465,12,16,28
466,12,16,28
467,12,16,28
468,12,16,28
469,12,16,28
470,12,16,28
471,12,16,28
472,12,16,28
473,12,16,28
474,12,16,28
475,12,16,28
476,12,16,28
477,12,16,28
478,12,16,28
479,12,16,28
480,12,16,28
481,12,16,28
482,12,16,28
483,12,16,28
484,12,16,28
485,12,16,28
486,12,16,28
487,12,16,28
488,12,16,28
489,12,16,28
490,12,16,28
491,12,16,28
492,12,16,28
493,12,16,28
494,12,16,28
495,12,16,28
496,12,16,28
497,12,16,28
498,12,16,28
499,12,16,28
500,12,16,28
501,12,16,28
502,12,16,28
503,12,16,28
504,12,16,28
505,12,16,28
506,12,16,28
507,12,16,28
508,12,16,28
509,12,16,28
510,12,16,28
511,12,16,28
512,12,16,28
513,12,16,28
514,12,16,28
515,12,16,28
516,12,16,28
517,12,16,28
518,12,16,28
519,12,16,28
520,12,16,28
521,12,16,28
522,12,16,28
523,12,16,28
524,12,16,28
525,12,16,28
526,12,16,28
527,12,16,28
528,12,16,28
529,12,16,28
530,12,16,28
531,12,16,28
532,12,16,28
533,12,16,28
534,12,16,28
535,12,16,28
536,12,16,28
537,12,16,28
538,12,16,28
539,12,16,28
540,12,16,28
541,12,16,28
542,12,16,28
543,12,16,28
544,12,16,28
545,12,16,28
546,12,16,28
547,12,16,28
548,12,16,28
549,12,16,28
550,12,16,28
551,12,16,28
552,12,16,28
553,12,16,28
554,12,16,28
555,12,16,28
556,12,16,28
557,12,16,28
558,12,16,28
559,12,16,28
560,12,16,28
561,12,16,28
562,12,16,28
563,12,16,28
564,12,16,28
565,12,16,28
566,12,16,28
567,12,16,28
568,12,16,28
569,12,16,28
570,12,16,28
571,12,16,28
572,12,16,28
573,12,16,28
574,12,16,28
575,12,16,28
576,12,16,28
577,12,16,28
578,12,16,28
579,12,16,28
580,12,16,28
581,12,16,28
582,12,16,28
583,12,16,28
584,12,16,28
585,12,16,28
586,12,16,28
587,12,16,28
588,12,16,28
589,12,16,28
590,12,16,28
591,12,16,28
592,12,16,28
593,12,16,28
594,12,16,28
595,12,16,28
596,12,16,28
597,12,16,28
598,12,16,28
599,12,16,28
600,12,16,28
601,12,16,28
602,12,16,28
603,12,16,28
604,12,16,28
605,12,16,28
606,12,16,28
607,12,16,28
608,12,16,28
609,12,16,28
610,12,16,28
611,12,16,28
612,12,16,28
613,12,16,28
614,12,16,28
615,12,16,28
616,12,16,28
617,12,16,28
618,12,16,28
619,12,16,28
620,12,16,28
621,12,16,28
622,12,16,28
623,12,16,28
624,12,16,28
625,12,16,28
626,12,16,28
627,12,16,28
628,12,16,28
629,12,16,28
630,12,16,28
631,12,16,28
632,12,16,28
633,12,16,28
634,12,16,28
635,12,16,28
636,12,16,28
637,12,16,28
638,12,16,28
639,12,16,28
640,12,16,28
641,12,16,28
642,12,16,28
643,12,16,28
644,12,16,28
645,12,16,28
646,12,16,28
647,12,16,28
648,12,16,28
649,12,16,28
650,12,16,28
651,12,16,28
652,12,16,28
653,12,16,28
654,12,16,28
655,12,16,28
656,12,16,28
657,12,16,28
658,12,16,28
659,12,16,28
660,12,16,28
661,12,16,28
662,12,16,28
663,12,16,28
664,12,16,28
665,12,16,28
666,12,16,28
667,12,16,28
668,12,16,28
669,12,16,28
670,12,16,28
671,12,16,28
672,12,16,28
673,12,16,28
674,12,16,28
675,12,16,28
676,12,16,28
677,12,16,28
678,12,16,28
679,12,16,28
680,12,16,28
681,12,16,28
682,12,16,28
683,12,16,28
684,12,16,28
685,12,16,28
686,12,16,28
687,12,16,28
688,12,16,28
689,12,16,28
690,12,16,28
691,12,16,28
692,12,16,28
693,12,16,28
694,12,16,28
695,12,16,28
696,12,16,28
697,12,16,28
698,12,16,28
699,12,16,28
700,12,16,28
701,12,16,28
702,12,16,28
703,12,16,28
704,12,16,28
705,12,16,28
706,12,16,28
707,12,16,28
708,12,16,28
709,12,16,28
710,12,16,28
711,12,16,28
712,12,16,28
713,12,16,28
714,12,16,28
715,12,16,28
716,12,16,28
717,12,16,28
718,12,16,28
719,12,16,28
720,12,16,28
721,12,16,28
722,12,16,28
723,12,16,28
724,12,16,28
725,12,16,28
726,12,16,28
727,12,16,28
728,12,16,28
729,12,16,28
730,12,16,28
731,12,16,28
732,12,16,28
733,12,16,28
734,12,16,28
735,12,16,28
736,12,16,28
737,12,16,28
738,12,16,28
739,12,16,28
740,12,16,28
741,12,16,28
742,12,16,28
743,12,16,28
744,12,16,28
745,12,16,28
746,12,16,28
747,12,16,28
748,12,16,28
749,12,16,28
750,12,16,28
751,12,16,28
752,12,16,28
753,12,16,28
754,12,16,28
755,12,16,28
756,12,16,28
757,12,16,28
758,12,16,28
759,12,16,28
760,12,16,28
761,12,16,28
762,12,16,28
763,12,16,28
764,12,16,28
765,12,16,28
766,12,16,28
767,12,16,28
768,12,16,28
769,12,16,28
770,12,16,28
771,12,16,28
772,12,16,28
773,12,16,28
774,12,16,28
775,12,16,28
776,12,16,28
777,12,16,28
778,12,16,28
779,12,16,28
780,12,16,28
781,12,16,28
782,12,16,28
783,12,16,28
784,12,16,28
785,12,16,28
786,12,16,28
787,12,16,28
788,12,16,28
789,12,16,28
790,12,16,28
791,12,16,28
792,12,16,28
793,12,16,28
794,12,16,28
795,12,16,28
796,12,16,28
797,12,16,28
798,12,16,28
799,12,16,28
800,12,16,28
801,12,16,28
802,12,16,28
803,12,16,28
804,12,16,28
805,12,16,28
806,12,16,28
807,12,16,28
808,12,16,28
809,12,16,28
810,12,16,28
811,12,16,28
812,12,16,28
813,12,16,28
814,12,16,28
815,12,16,28
816,12,16,28
817,12,16,28
818,12,16,28
819,12,16,28
820,12,16,28
821,12,16,28
822,12,16,28
823,12,16,28
824,12,16,28
825,12,16,28
826,12,16,28
827,12,16,28
828,12,16,28
829,12,16,28
830,12,16,28
831,12,16,28
832,12,16,28
833,12,16,28
834,12,16,28
835,12,16,28
836,12,16,28
837,12,16,28
838,12,16,28
839,12,16,28
840,12,16,28
841,12,16,28
842,12,16,28
843,12,16,28
844,12,16,28
845,12,16,28
846,12,16,28
847,12,16,28
848,12,16,28
849,12,16,28
850,12,16,28
851,12,16,28
852,12,16,28
853,12,16,28
854,12,16,28
855,12,16,28
856,12,16,28
857,12,16,28
858,12,16,28
859,12,16,28
860,12,16,28
861,12,16,28
862,12,16,28
863,12,16,28
864,12,16,28
865,12,16,28
866,12,16,28
867,12,16,28
868,12,16,28
869,12,16,28
870,12,16,28
871,12,16,28
872,12,16,28
873,12,16,28
874,12,16,28
875,12,16,28
876,12,16,28
877,12,16,28
878,12,16,28
879,12,16,28
880,12,16,28
881,12,16,28
882,12,16,28
883,12,16,28
884,12,16,28
885,12,16,28
886,12,16,28
887,12,16,28
888,12,16,28
889,12,16,28
890,12,16,28
891,12,16,28
892,12,16,28
893,12,16,28
894,12,16,28
895,12,16,28
896,12,16,28
897,12,16,28
898,12,16,28
899,12,16,28
900,12,16,28
901,12,16,28
902,12,16,28
903,12,16,28
904,12,16,28
905,12,16,28
906,12,16,28
907,12,16,28
908,12,16,28
909,12,16,28
910,12,16,28
911,12,16,28
912,12,16,28
913,12,16,28
914,12,16,28
915,12,16,28
916,12,16,28
917,12,16,28
918,12,16,28
919,12,16,28
920,12,16,28
921,12,16,28
922,12,16,28
923,12,16,28
924,12,16,28
925,12,16,28
926,12,16,28
927,12,16,28
928,12,16,28
929,12,16,28
930,12,16,28
931,12,16,28
932,12,16,28
933,12,16,28
934,12,16,28
935,12,16,28
936,12,16,28
937,12,16,28
938,12,16,28
939,12,16,28
940,12,16,28
941,12,16,28
942,12,16,28
943,12,16,28
944,12,16,28
945,12,16,28
946,12,16,28
947,12,16,28
948,12,16,28
949,12,16,28
950,12,16,28
951,12,16,28
952,12,16,28
953,12,16,28
954,12,16,28
955,12,16,28
956,12,16,28
957,12,16,28
958,12,16,28
959,12,16,28
960,12,16,28
961,12,16,28
962,12,16,28
963,12,16,28
964,12,16,28
965,12,16,28
966,12,16,28
967,12,16,28
968,12,16,28
969,12,16,28
970,12,16,28
971,12,16,28
972,12,16,28
973,12,16,28
974,12,16,28
975,12,16,28
976,12,16,28
977,12,16,28
978,12,16,28
979,12,16,28
980,12,16,28
981,12,16,28
982,12,16,28
983,12,16,28
984,12,16,28
985,12,16,28
986,12,16,28
987,12,16,28
988,12,16,28
989,12,16,28
990,12,16,28
991,12,16,28
992,12,16,28
993,12,16,28
994,12,16,28
995,12,16,28
996,12,16,28
997,12,16,28
998,12,16,28
999,12,16,28
1000,12,16,28
1001,12,16,28
1002,12,16,28
1003,12,16,28
1004,12,16,28
1005,12,16,28
1006,12,16,28
1007,12,16,28
1008,12,16,28
1009,12,16,28
1010,12,16,28
1011,12,16,28
1012,12,16,28
1013,12,16,28
1014,12,16,28
1015,12,16,28
1016,12,16,28
1017,12,16,28
1018,12,16,28
1019,12,16,28
1020,12,16,28
1021,12,16,28
1022,12,16,28
1023,12,16,28
1024,12,16,28
1025,12,16,28
1026,12,16,28
1027,12,16,28
1028,12,16,28
1029,12,16,28
1030,12,16,28
1031,12,16,28
1032,12,16,28
1033,12,16,28
1034,12,16,28
1035,12,16,28
1036,12,16,28
1037,12,16,28
1038,12,16,28
1039,12,16,28
1040,12,16,28
1041,12,16,28
1042,12,16,28
1043,12,16,28
1044,12,16,28
1045,12,16,28
1046,12,16,28
1047,12,16,28
1048,12,16,28
1049,12,16,28
1050,12,16,28
1051,12,16,28
1052,12,16,28
1053,12,16,28
1054,12,16,28
1055,12,16,28
1056,12,16,28
1057,12,16,28
1058,12,16,28
1059,12,16,28
1060,12,16,28
1061,12,16,28
1062,12,16,28
1063,12,16,28
1064,12,16,28
1065,12,16,28
1066,12,16,28
1067,12,16,28
1068,12,16,28
1069,12,16,28
1070,12,16,28
1071,12,16,28
1072,12,16,28
1073,12,16,28
1074,12,16,28
1075,12,16,28
1076,12,16,28
1077,12,16,28
1078,12,16,28
1079,12,16,28
1080,12,16,28
1081,12,16,28
1082,12,16,28
1083,12,16,28
1084,12,16,28
1085,12,16,28
1086,12,16,28
1087,12,16,28
1088,12,16,28
1089,12,16,28
1090,12,16,28
1091,12,16,28
1092,12,16,28
1093,12,16,28
1094,12,16,28
1095,12,16,28
1096,12,16,28
1097,12,16,28
1098,12,16,28
1099,12,16,28
1100,12,16,28
1101,12,16,28
1102,12,16,28
1103,12,16,28
1104,12,16,28
1105,12,16,28
1106,12,16,28
1107,12,16,28
1108,12,16,28
1109,12,16,28
1110,12,16,28
1111,12,16,28
1112,12,16,28
1113,12,16,28
1114,12,16,28
1115,12,16,28
1116,12,16,28
1117,12,16,28
1118,12,16,28
1119,12,16,28
1120,12,16,28
1121,12,16,28
1122,12,16,28
1123,12,16,28
1124,12,16,28
1125,12,16,28
1126,12,16,28
1127,12,16,28
1128,12,16,28
1129,12,16,28
1130,12,16,28
1131,12,16,28
1132,12,16,28
1133,12,16,28
1134,12,16,28
1135,12,16,28
1136,12,16,28
1137,12,16,28
1138,12,16,28
1139,12,16,28
1140,12,16,28
1141,12,16,28
1142,12,16,28
1143,12,16,28
1144,12,16,28
1145,12,16,28
1146,12,16,28
1147,12,16,28
1148,12,16,28
1149,12,16,28
1150,12,16,28
1151,12,16,28
1152,12,16,28
1153,12,16,28
1154,12,16,28
1155,12,16,28
1156,12,16,28
1157,12,16,28
1158,12,16,28
1159,12,16,28
1160,12,16,28
1161,12,16,28
1162,12,16,28
1163,12,16,28
1164,12,16,28
1165,12,16,28
1166,12,16,28
1167,12,16,28
1168,12,16,28
1169,12,16,28
1170,12,16,28
1171,12,16,28
1172,12,16,28
1173,12,16,28
1174,12,16,28
1175,12,16,28
1176,12,16,28
1177,12,16,28
1178,12,16,28
1179,12,16,28
1180,12,16,28
1181,12,16,28
1182,12,16,28
1183,12,16,28
1184,12,16,28
1185,12,16,28
1186,12,16,28
1187,12,16,28
1188,12,16,28
1189,12,16,28
1190,12,16,28
1191,12,16,28
1192,12,16,28
1193,12,16,28
1194,12,16,28
1195,12,16,28
1196,12,16,28
1197,12,16,28
1198,12,16,28
1199,12,16,28
1200,12,16,28
1201,12,16,28
1202,12,16,28
1203,12,16,28
1204,12,16,28
1205,12,16,28
1206,12,16,28
1207,12,16,28
1208,12,16,28
1209,12,16,28
1210,12,16,28
1211,12,16,28
1212,12,16,28
1213,12,16,28
1214,12,16,28
1215,12,16,28
1216,12,16,28
1217,12,16,28
1218,12,16,28
1219,12,16,28
1220,12,16,28
1221,12,16,28
1222,12,16,28
1223,12,16,28
1224,12,16,28
1225,12,16,28
1226,12,16,28
1227,12,16,28
1228,12,16,28
1229,12,16,28
1230,12,16,28
1231,12,16,28
1232,12,16,28
1233,12,16,28
1234,12,16,28
1235,12,16,28
1236,12,16,28
1237,12,16,28
1238,12,16,28
1239,12,16,28
1240,12,16,28
1241,12,16,28
1242,12,16,28
1243,12,16,28
1244,12,16,28
1245,12,16,28
1246,12,16,28
1247,12,16,28
1248,12,16,28
1249,12,16,28
1250,12,16,28
1251,12,16,28
1252,12,16,28
1253,12,16,28
1254,12,16,28
1255,12,16,28
1256,12,16,28
1257,12,16,28
1258,12,16,28
1259,12,16,28
1260,12,16,28
1261,12,16,28
1262,12,16,28
1263,12,16,28
1264,12,16,28
1265,12,16,28
1266,12,16,28
1267,12,16,28
1268,12,16,28
1269,12,16,28
1270,12,16,28
1271,12,16,28
1272,12,16,28
1273,12,16,28
1274,12,16,28
1275,12,16,28
1276,12,16,28
1277,12,16,28
1278,12,16,28
1279,12,16,28
1280,12,16,28
1281,12,16,28
1282,12,16,28
1283,12,16,28
1284,12,16,28
1285,12,16,28
1286,12,16,28
1287,12,16,28
1288,12,16,28
1289,12,16,28
1290,12,16,28
1291,12,16,28
1292,12,16,28
1293,12,16,28
1294,12,16,28
1295,12,16,28
1296,12,16,28
1297,12,16,28
1298,12,16,28
1299,12,16,28
1300,12,16,28
1301,12,16,28
1302,12,16,28
1303,12,16,28
1304,12,16,28
1305,12,16,28
1306,12,16,28
1307,12,16,28
1308,12,16,28
1309,12,16,28
1310,12,16,28
1311,12,16,28
1312,12,16,28
1313,12,16,28
1314,12,16,28
1315,12,16,28
1316,12,16,28
1317,12,16,28
1318,12,16,28
1319,12,16,28
1320,12,16,28
1321,12,16,28
1322,12,16,28
1323,12,16,28
1324,12,16,28
1325,12,16,28
1326,12,16,28
1327,12,16,28
1328,12,16,28
1329,12,16,28
1330,12,16,28
1331,12,16,28
1332,12,16,28
1333,12,16,28
1334,12,16,28
1335,12,16,28
1336,12,16,28
1337,12,16,28
1338,12,16,28
1339,12,16,28
1340,12,16,28
1341,12,16,28
1342,12,16,28
1343,12,16,28
1344,12,16,28
1345,12,16,28
1346,12,16,28
1347,12,16,28
1348,12,16,28
1349,12,16,28
1350,12,16,28
1351,12,16,28
1352,12,16,28
