path,alpha_min,n_transparent_px,max_abs_diff_vs_composite
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_1.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_10.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_11.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_12.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_13.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_14.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_15.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_16.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_17.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_18.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_19.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_2.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_20.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_21.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_22.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_23.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_24.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_3.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_4.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_5.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_6.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_7.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_8.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\forgeries_29_9.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_1.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_10.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_11.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_12.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_13.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_14.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_15.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_16.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_17.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_18.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_19.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_2.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_20.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_21.png,255,0,0
