backbone,dataset,metric,resample_unit,point_estimate,ci_lower_2.5pct,ci_upper_97.5pct,n_resamples,canonical_point_estimate,n_test_writers,n_pairs
resnet18,institutional,eer_all,writer,0.1673863636363636,0.16136268939393947,0.173580018939394,1000,0.1678,800,105600
resnet18,institutional,eer_skilled,writer,0.2311363636363636,0.2224981060606061,0.23898560606060612,1000,0.2311,800,79200
resnet18,cedar,eer_all,writer,0.24077733860342554,0.17124505928853753,0.2918395915678525,1000,0.2406,11,6072
resnet18,cedar,eer_skilled,writer,0.3194993412384717,0.22984189723320156,0.3926218708827405,1000,0.318,11,4554
resnet18,bhsig260_bengali,eer_all,writer,0.3081521739130435,0.2795199275362319,0.3320697463768132,1000,0.3079,20,11040
resnet18,bhsig260_bengali,eer_skilled,writer,0.3824275362318845,0.34455615942028817,0.41485507246376807,1000,0.3828,20,8280
resnet18,bhsig260_hindi,eer_all,writer,0.26822916666666663,0.23097543025362316,0.306051856884058,1000,0.2681,32,17664
resnet18,bhsig260_hindi,eer_skilled,writer,0.3122735507246377,0.2646031476449275,0.35701143568840604,1000,0.3117,32,13248
smallcnn,cedar,eer_all,writer,0.21047430830039526,0.14426054018445325,0.26616436100131746,1000,0.2103,11,6072
smallcnn,cedar,eer_skilled,writer,0.2812911725955204,0.20617588932806322,0.34916007905138347,1000,0.2818,11,4554
smallcnn,bhsig260_bengali,eer_all,writer,0.26847826086956517,0.23151721014492757,0.2992798913043479,1000,0.2679,20,11040
smallcnn,bhsig260_bengali,eer_skilled,writer,0.3311594202898551,0.2818795289855072,0.37501811594202894,1000,0.3312,20,8280
smallcnn,bhsig260_hindi,eer_all,writer,0.2519248188405797,0.21069972826086958,0.2910014719202887,1000,0.2522,32,17664
smallcnn,bhsig260_hindi,eer_skilled,writer,0.29483695652173914,0.243650928442029,0.34217334692028983,1000,0.2953,32,13248
