dataset,metric,arm_a,arm_b,eer_a,eer_b,diff_b_minus_a,ci_lower,ci_upper,separates_from_zero,n_writers,n_pairs,caveat
institutional,eer_all,smallcnn,resnet18,0.1935,0.1674,-0.0261,-0.0319,-0.0201,True,800,105600,
institutional,eer_skilled,smallcnn,resnet18,0.2674,0.2311,-0.0362,-0.0445,-0.0287,True,800,79200,
institutional,eer_all,smallcnn,resnet34,0.1935,0.1685,-0.025,-0.0318,-0.0186,True,800,105600,
institutional,eer_skilled,smallcnn,resnet34,0.2674,0.2301,-0.0373,-0.0465,-0.0299,True,800,79200,
institutional,eer_all,smallcnn,efficientnet_b0,0.1935,0.1799,-0.0136,-0.0204,-0.0068,True,800,105600,
institutional,eer_skilled,smallcnn,efficientnet_b0,0.2674,0.2399,-0.0275,-0.036,-0.0185,True,800,79200,
institutional,eer_all,resnet18,resnet34,0.1674,0.1685,0.0011,-0.004,0.0058,False,800,105600,
institutional,eer_skilled,resnet18,resnet34,0.2311,0.2301,-0.001,-0.008,0.005,False,800,79200,
institutional,eer_all,resnet18,efficientnet_b0,0.1674,0.1799,0.0125,0.007,0.0175,True,800,105600,
institutional,eer_skilled,resnet18,efficientnet_b0,0.2311,0.2399,0.0088,0.0018,0.0159,True,800,79200,
institutional,eer_all,resnet34,efficientnet_b0,0.1685,0.1799,0.0114,0.0061,0.0172,True,800,105600,
institutional,eer_skilled,resnet34,efficientnet_b0,0.2301,0.2399,0.0098,0.0032,0.0177,True,800,79200,
cedar,eer_all,smallcnn,resnet18,0.2105,0.2408,0.0303,0.0059,0.0504,True,11,6072,
cedar,eer_skilled,smallcnn,resnet18,0.2813,0.3195,0.0382,-0.0025,0.0698,False,11,4554,
cedar,eer_all,smallcnn,resnet34,0.2105,0.247,0.0366,0.0013,0.0652,True,11,6072,
cedar,eer_skilled,smallcnn,resnet34,0.2813,0.3109,0.0296,-0.0173,0.0753,False,11,4554,
cedar,eer_all,smallcnn,efficientnet_b0,0.2105,0.2559,0.0455,0.0198,0.0649,True,11,6072,
cedar,eer_skilled,smallcnn,efficientnet_b0,0.2813,0.3294,0.0481,0.0087,0.0672,True,11,4554,
cedar,eer_all,resnet18,resnet34,0.2408,0.247,0.0063,-0.0349,0.0455,False,11,6072,
cedar,eer_skilled,resnet18,resnet34,0.3195,0.3109,-0.0086,-0.0613,0.0501,False,11,4554,
cedar,eer_all,resnet18,efficientnet_b0,0.2408,0.2559,0.0152,-0.0201,0.0507,False,11,6072,
cedar,eer_skilled,resnet18,efficientnet_b0,0.3195,0.3294,0.0099,-0.0387,0.0639,False,11,4554,
