dataset,metric,arm_a,arm_b,eer_a,eer_b,diff_b_minus_a,ci_lower,ci_upper,separates_from_zero,n_writers,n_pairs,caveat
cedar,eer_all,smallcnn,resnet34,0.2105,0.247,0.0366,0.0013,0.0652,True,11,6072,
cedar,eer_skilled,smallcnn,resnet34,0.2813,0.3109,0.0296,-0.0173,0.0753,False,11,4554,
bhsig260_bengali,eer_all,smallcnn,resnet34,0.2685,0.3096,0.0411,0.0027,0.079,True,20,11040,
bhsig260_bengali,eer_skilled,smallcnn,resnet34,0.3312,0.3891,0.058,0.0087,0.1101,True,20,8280,
bhsig260_hindi,eer_all,smallcnn,resnet34,0.2519,0.3014,0.0495,0.0241,0.0752,True,32,17664,
bhsig260_hindi,eer_skilled,smallcnn,resnet34,0.2948,0.3372,0.0423,0.0056,0.0764,True,32,13248,
cedar,eer_all,resnet18,resnet34,0.2408,0.247,0.0063,-0.0349,0.0455,False,11,6072,
cedar,eer_skilled,resnet18,resnet34,0.3195,0.3109,-0.0086,-0.0613,0.0501,False,11,4554,
bhsig260_bengali,eer_all,resnet18,resnet34,0.3082,0.3096,0.0014,-0.0274,0.0297,False,20,11040,
bhsig260_bengali,eer_skilled,resnet18,resnet34,0.3825,0.3891,0.0066,-0.0402,0.0446,False,20,8280,
bhsig260_hindi,eer_all,resnet18,resnet34,0.2682,0.3014,0.0332,0.0122,0.054,True,32,17664,
bhsig260_hindi,eer_skilled,resnet18,resnet34,0.3123,0.3372,0.0249,-0.0042,0.0507,False,32,13248,
cedar,eer_all,resnet34,efficientnet_b0,0.247,0.2559,0.0089,-0.0227,0.0362,False,11,6072,
cedar,eer_skilled,resnet34,efficientnet_b0,0.3109,0.3294,0.0184,-0.0346,0.0567,False,11,4554,
bhsig260_bengali,eer_all,resnet34,efficientnet_b0,0.3096,0.2861,-0.0236,-0.0602,0.0165,False,20,11040,
bhsig260_bengali,eer_skilled,resnet34,efficientnet_b0,0.3891,0.3594,-0.0297,-0.0845,0.0312,False,20,8280,
bhsig260_hindi,eer_all,resnet34,efficientnet_b0,0.3014,0.2863,-0.0151,-0.0379,0.0034,False,32,17664,
bhsig260_hindi,eer_skilled,resnet34,efficientnet_b0,0.3372,0.3353,-0.0019,-0.0301,0.0247,False,32,13248,
