dataset,metric,arm_a,arm_b,eer_a,eer_b,diff_b_minus_a,ci_lower,ci_upper,separates_from_zero,n_writers,n_pairs,caveat
institutional,eer_all,resnet18,resnet18_triplet,0.1674,0.1524,-0.015,-0.0207,-0.0095,True,800,105600,
institutional,eer_skilled,resnet18,resnet18_triplet,0.2311,0.2136,-0.0175,-0.0246,-0.0095,True,800,79200,
cedar,eer_all,resnet18,resnet18_triplet,0.2408,0.2085,-0.0323,-0.0735,0.0026,False,11,6072,
cedar,eer_skilled,resnet18,resnet18_triplet,0.3195,0.28,-0.0395,-0.1046,0.0213,False,11,4554,
bhsig260_bengali,eer_all,resnet18,resnet18_triplet,0.3082,0.2364,-0.0717,-0.0908,-0.0424,True,20,11040,
bhsig260_bengali,eer_skilled,resnet18,resnet18_triplet,0.3825,0.3112,-0.0713,-0.1123,-0.0359,True,20,8280,
bhsig260_hindi,eer_all,resnet18,resnet18_triplet,0.2682,0.2394,-0.0289,-0.0459,-0.0124,True,32,17664,
bhsig260_hindi,eer_skilled,resnet18,resnet18_triplet,0.3123,0.2849,-0.0274,-0.0546,-0.0023,True,32,13248,
institutional,eer_all,smallcnn,resnet18_triplet,0.1935,0.1524,-0.0411,-0.0469,-0.0344,True,800,105600,
institutional,eer_skilled,smallcnn,resnet18_triplet,0.2674,0.2136,-0.0538,-0.0617,-0.0451,True,800,79200,
cedar,eer_all,smallcnn,resnet18_triplet,0.2105,0.2085,-0.002,-0.0435,0.0283,False,11,6072,
cedar,eer_skilled,smallcnn,resnet18_triplet,0.2813,0.28,-0.0013,-0.0685,0.0408,False,11,4554,
bhsig260_bengali,eer_all,smallcnn,resnet18_triplet,0.2685,0.2364,-0.0321,-0.0625,-0.0013,True,20,11040,
bhsig260_bengali,eer_skilled,smallcnn,resnet18_triplet,0.3312,0.3112,-0.0199,-0.0673,0.0207,False,20,8280,
bhsig260_hindi,eer_all,smallcnn,resnet18_triplet,0.2519,0.2394,-0.0126,-0.0384,0.012,False,32,17664,
bhsig260_hindi,eer_skilled,smallcnn,resnet18_triplet,0.2948,0.2849,-0.01,-0.0482,0.0247,False,32,13248,
