arm,dataset,n_positive,n_skilled,n_random,eer_pooled,eer_pooled_grid,eer_skilled,eer_random,auc_pooled,auc_skilled,auc_random,far_random_at_threshold,frr_random_at_threshold,verification_status
efficientnet_b0,bhsig260_bengali,5520,2760,2760,0.2861,0.2859,0.3594,0.1979,0.7834,0.6801,0.8866,0.6275,0.033,PASS (non-achievable crossing: pooled: 1/3 of tied group at crossing)
efficientnet_b0,bhsig260_hindi,8832,4416,4416,0.2863,0.2857,0.3353,0.2264,0.7775,0.7144,0.8405,0.5607,0.1016,PASS
efficientnet_b0,cedar,3036,1518,1518,0.2559,0.2554,0.3294,0.1509,0.8309,0.735,0.9268,0.2299,0.1074,PASS
efficientnet_b0,institutional,52800,26400,26400,0.1799,0.1798,0.2399,0.0981,0.9083,0.8485,0.9681,0.0516,0.1801,PASS (non-achievable crossing: pooled: 1/2 of tied group at crossing)
resnet18,bhsig260_bengali,5520,2760,2760,0.3082,0.3079,0.3825,0.2199,0.7602,0.6624,0.8579,0.738,0.0368,PASS (non-achievable crossing: skilled: 1/2 of tied group at crossing)
resnet18,bhsig260_hindi,8832,4416,4416,0.2682,0.2681,0.3123,0.2241,0.7901,0.7418,0.8384,0.6159,0.1033,PASS
resnet18,cedar,3036,1518,1518,0.2408,0.2406,0.3195,0.1515,0.8363,0.7451,0.9275,0.2833,0.0935,PASS
resnet18,institutional,52800,26400,26400,0.1674,0.1678,0.2311,0.0799,0.9173,0.8571,0.9776,0.0375,0.1653,PASS
resnet34,bhsig260_bengali,5520,2760,2760,0.3096,0.3101,0.3891,0.2141,0.7541,0.6492,0.8591,0.546,0.063,PASS
resnet34,bhsig260_hindi,8832,4416,4416,0.3014,0.3012,0.3372,0.2647,0.7614,0.7189,0.8039,0.6055,0.1008,PASS
resnet34,cedar,3036,1518,1518,0.247,0.2469,0.3109,0.1606,0.8353,0.7503,0.9204,0.2148,0.1179,PASS
resnet34,institutional,52800,26400,26400,0.1685,0.1685,0.2301,0.0816,0.9174,0.8578,0.9769,0.0397,0.1597,PASS
rq3_combined,bhsig260_bengali,5520,2760,2760,0.1933,0.1925,0.1914,0.196,0.8881,0.8791,0.8972,0.3351,0.0629,PASS (non-achievable crossing: pooled: 7/10 of tied group at crossing)
rq3_combined,bhsig260_hindi,8832,4416,4416,0.2031,0.2035,0.0838,0.274,0.8872,0.9712,0.8032,0.8748,0.0189,PASS
rq3_combined,cedar,3036,1518,1518,0.2289,0.2291,0.2973,0.1337,0.851,0.7666,0.9354,0.2069,0.0893,PASS
rq3_combined,institutional,52800,26400,26400,0.1628,0.1629,0.224,0.0757,0.922,0.8644,0.9796,0.0327,0.1673,PASS
smallcnn,bhsig260_bengali,5520,2760,2760,0.2685,0.2679,0.3312,0.1829,0.8087,0.729,0.8884,0.4612,0.0612,PASS
smallcnn,bhsig260_hindi,8832,4416,4416,0.2519,0.2522,0.2948,0.2036,0.8057,0.7561,0.8552,0.4654,0.1156,PASS
smallcnn,cedar,3036,1518,1518,0.2105,0.2103,0.2813,0.1145,0.8642,0.7728,0.9557,0.1008,0.1222,PASS
smallcnn,institutional,52800,26400,26400,0.1935,0.1936,0.2674,0.0902,0.8938,0.8168,0.9709,0.0439,0.1886,PASS
resnet18_triplet,institutional,52800,26400,26400,0.1524,0.1521,0.2136,0.0608,0.9274,0.8689,0.9859,0.021,0.1449,PASS
resnet18_triplet,cedar,3036,1518,1518,0.2085,0.2087,0.28,0.114,0.8726,0.7861,0.9591,0.143,0.0965,PASS
resnet18_triplet,bhsig260_bengali,5520,2760,2760,0.2364,0.2371,0.3112,0.1504,0.8416,0.7566,0.9266,0.7975,0.0069,PASS
resnet18_triplet,bhsig260_hindi,8832,4416,4416,0.2394,0.239,0.2849,0.188,0.8281,0.7814,0.8748,0.7729,0.0534,PASS
