arm,dataset,threshold,threshold_provenance,eer_all,eer_skilled,auc,far,frr,precision,recall,f1,accuracy,TP,FP,TN,FN,oracle_threshold,oracle_far,oracle_frr,oracle_precision,oracle_recall,oracle_f1,oracle_accuracy,n_pairs
resnet18,bhsig260_bengali,0.5833,carried,0.3082,0.3825,0.7602,0.8239,0.0368,0.539,0.9632,0.6912,0.5697,5317,4548,972,203,0.3115,0.3082,0.3082,0.6918,0.6918,0.6918,0.6918,11040
resnet18,bhsig260_hindi,0.5833,carried,0.2682,0.3123,0.7901,0.6952,0.1033,0.5633,0.8967,0.6919,0.6008,7920,6140,2692,912,0.3219,0.2682,0.2682,0.7318,0.7318,0.7318,0.7318,17664
resnet18,cedar,0.5833,carried,0.2408,0.3195,0.8363,0.4783,0.0935,0.6546,0.9065,0.7602,0.7141,2752,1452,1584,284,0.4176,0.2408,0.2408,0.7592,0.7592,0.7592,0.7592,6072
resnet18,institutional,0.5833,own,0.1674,0.2311,0.9173,0.1694,0.1653,0.8313,0.8347,0.833,0.8327,44073,8942,43858,8727,0.5813,0.1674,0.1674,0.8326,0.8326,0.8326,0.8326,105600
resnet34,institutional,0.7349,own,0.1685,0.2301,0.9174,0.1752,0.1597,0.8275,0.8403,0.8338,0.8326,44367,9249,43551,8433,0.7247,0.1685,0.1685,0.8315,0.8315,0.8315,0.8315,105600
rq3_combined,bhsig260_bengali,0.7147,global,0.1933,0.1914,0.8881,0.3668,0.0629,0.7187,0.9371,0.8135,0.7851,5173,2025,3495,347,0.4829,0.1933,0.1928,0.8068,0.8072,0.807,0.807,11040
rq3_combined,bhsig260_hindi,0.7147,global,0.2031,0.0838,0.8872,0.5265,0.0189,0.6508,0.9811,0.7825,0.7273,8665,4650,4182,167,0.2933,0.2031,0.2031,0.7969,0.7969,0.7969,0.7969,17664
rq3_combined,cedar,0.7147,global,0.2289,0.2973,0.851,0.4341,0.0893,0.6772,0.9107,0.7768,0.7383,2765,1318,1718,271,0.5033,0.2289,0.2289,0.7711,0.7711,0.7711,0.7711,6072
rq3_combined,institutional,0.7147,global,0.1628,0.224,0.922,0.1591,0.1673,0.8396,0.8327,0.8361,0.8368,43966,8398,44402,8834,0.7202,0.1628,0.1628,0.8372,0.8372,0.8372,0.8372,105600
smallcnn,bhsig260_bengali,0.5256,carried,0.2685,0.3312,0.8087,0.6473,0.0612,0.5919,0.9388,0.726,0.6457,5182,3573,1947,338,0.3516,0.2685,0.2685,0.7315,0.7315,0.7315,0.7315,11040
smallcnn,bhsig260_hindi,0.5256,carried,0.2519,0.2948,0.8057,0.5923,0.1156,0.5989,0.8844,0.7142,0.6461,7811,5231,3601,1021,0.3481,0.2519,0.2519,0.7481,0.7481,0.7481,0.7481,17664
smallcnn,cedar,0.5256,carried,0.2105,0.2813,0.8642,0.3429,0.1222,0.7191,0.8778,0.7906,0.7675,2665,1041,1995,371,0.4227,0.2105,0.2105,0.7895,0.7895,0.7895,0.7895,6072
smallcnn,institutional,0.5256,own,0.1935,0.2674,0.8938,0.1971,0.1886,0.8046,0.8114,0.8079,0.8071,42840,10407,42393,9960,0.5222,0.1935,0.1935,0.8065,0.8065,0.8065,0.8065,105600
