arm,dataset,threshold,threshold_provenance,eer_all,eer_skilled,auc,far,frr,precision,recall,f1,accuracy,TP,FP,TN,FN,oracle_threshold,oracle_far,oracle_frr,oracle_precision,oracle_recall,oracle_f1,oracle_accuracy,n_pairs
efficientnet_b0,bhsig260_bengali,0.5738,carried,0.2861,0.3594,0.7834,0.781,0.033,0.5532,0.967,0.7038,0.593,5338,4311,1209,182,0.3312,0.2861,0.2857,0.7141,0.7143,0.7142,0.7141,11040
efficientnet_b0,bhsig260_hindi,0.5738,carried,0.2863,0.3353,0.7775,0.6754,0.1016,0.5709,0.8984,0.6981,0.6115,7935,5965,2867,897,0.322,0.2863,0.2863,0.7137,0.7137,0.7137,0.7137,17664
efficientnet_b0,cedar,0.5738,carried,0.2559,0.3294,0.8309,0.4769,0.1074,0.6518,0.8926,0.7534,0.7078,2710,1448,1588,326,0.4119,0.2559,0.2559,0.7441,0.7441,0.7441,0.7441,6072
efficientnet_b0,institutional,0.5738,own,0.1799,0.2399,0.9083,0.1798,0.1801,0.8202,0.8199,0.82,0.8201,43292,9492,43308,9508,0.5739,0.1799,0.1799,0.8201,0.8201,0.8201,0.8201,105600
resnet18,bhsig260_bengali,0.5833,carried,0.3082,0.3825,0.7602,0.8239,0.0368,0.539,0.9632,0.6912,0.5697,5317,4548,972,203,0.3115,0.3082,0.3082,0.6918,0.6918,0.6918,0.6918,11040
resnet18,bhsig260_hindi,0.5833,carried,0.2682,0.3123,0.7901,0.6952,0.1033,0.5633,0.8967,0.6919,0.6008,7920,6140,2692,912,0.3219,0.2682,0.2682,0.7318,0.7318,0.7318,0.7318,17664
resnet18,cedar,0.5833,carried,0.2408,0.3195,0.8363,0.4783,0.0935,0.6546,0.9065,0.7602,0.7141,2752,1452,1584,284,0.4176,0.2408,0.2408,0.7592,0.7592,0.7592,0.7592,6072
resnet18,institutional,0.5833,own,0.1674,0.2311,0.9173,0.1694,0.1653,0.8313,0.8347,0.833,0.8327,44073,8942,43858,8727,0.5813,0.1674,0.1674,0.8326,0.8326,0.8326,0.8326,105600
resnet34,bhsig260_bengali,0.7349,carried,0.3096,0.3891,0.7541,0.7125,0.063,0.568,0.937,0.7073,0.6122,5172,3933,1587,348,0.4481,0.3096,0.3096,0.6904,0.6904,0.6904,0.6904,11040
resnet34,bhsig260_hindi,0.7349,carried,0.3014,0.3372,0.7614,0.6701,0.1008,0.573,0.8992,0.7,0.6146,7942,5918,2914,890,0.443,0.3014,0.3014,0.6986,0.6986,0.6986,0.6986,17664
resnet34,cedar,0.7349,carried,0.247,0.3109,0.8353,0.3976,0.1179,0.6893,0.8821,0.7739,0.7423,2678,1207,1829,358,0.5797,0.247,0.247,0.753,0.753,0.753,0.753,6072
resnet34,institutional,0.7349,own,0.1685,0.2301,0.9174,0.1752,0.1597,0.8275,0.8403,0.8338,0.8326,44367,9249,43551,8433,0.7247,0.1685,0.1685,0.8315,0.8315,0.8315,0.8315,105600
rq3_combined,bhsig260_bengali,0.7147,global,0.1933,0.1914,0.8881,0.3668,0.0629,0.7187,0.9371,0.8135,0.7851,5173,2025,3495,347,0.4829,0.1933,0.1928,0.8068,0.8072,0.807,0.807,11040
rq3_combined,bhsig260_hindi,0.7147,global,0.2031,0.0838,0.8872,0.5265,0.0189,0.6508,0.9811,0.7825,0.7273,8665,4650,4182,167,0.2933,0.2031,0.2031,0.7969,0.7969,0.7969,0.7969,17664
rq3_combined,cedar,0.7147,global,0.2289,0.2973,0.851,0.4341,0.0893,0.6772,0.9107,0.7768,0.7383,2765,1318,1718,271,0.5033,0.2289,0.2289,0.7711,0.7711,0.7711,0.7711,6072
rq3_combined,institutional,0.7147,global,0.1628,0.224,0.922,0.1591,0.1673,0.8396,0.8327,0.8361,0.8368,43966,8398,44402,8834,0.7202,0.1628,0.1628,0.8372,0.8372,0.8372,0.8372,105600
smallcnn,bhsig260_bengali,0.5256,carried,0.2685,0.3312,0.8087,0.6473,0.0612,0.5919,0.9388,0.726,0.6457,5182,3573,1947,338,0.3516,0.2685,0.2685,0.7315,0.7315,0.7315,0.7315,11040
smallcnn,bhsig260_hindi,0.5256,carried,0.2519,0.2948,0.8057,0.5923,0.1156,0.5989,0.8844,0.7142,0.6461,7811,5231,3601,1021,0.3481,0.2519,0.2519,0.7481,0.7481,0.7481,0.7481,17664
smallcnn,cedar,0.5256,carried,0.2105,0.2813,0.8642,0.3429,0.1222,0.7191,0.8778,0.7906,0.7675,2665,1041,1995,371,0.4227,0.2105,0.2105,0.7895,0.7895,0.7895,0.7895,6072
smallcnn,institutional,0.5256,own,0.1935,0.2674,0.8938,0.1971,0.1886,0.8046,0.8114,0.8079,0.8071,42840,10407,42393,9960,0.5222,0.1935,0.1935,0.8065,0.8065,0.8065,0.8065,105600
resnet18_triplet,institutional,6.6311,own,0.1524,0.2136,0.9274,0.1581,0.1449,0.844,0.8551,0.8495,0.8485,45149,8346,44454,7651,6.5764,0.1524,0.1524,0.8476,0.8476,0.8476,0.8476,105600
resnet18_triplet,cedar,6.6311,carried,0.2085,0.28,0.8726,0.415,0.0965,0.6852,0.9035,0.7794,0.7442,2743,1260,1776,293,5.0876,0.2085,0.2085,0.7915,0.7915,0.7915,0.7915,6072
resnet18_triplet,bhsig260_bengali,6.6311,carried,0.2364,0.3112,0.8416,0.8906,0.0069,0.5272,0.9931,0.6888,0.5513,5482,4916,604,38,3.4316,0.2364,0.2364,0.7636,0.7636,0.7636,0.7636,11040
resnet18_triplet,bhsig260_hindi,6.6311,carried,0.2394,0.2849,0.8281,0.8128,0.0534,0.538,0.9466,0.6861,0.5669,8360,7179,1653,472,3.5364,0.2394,0.2394,0.7606,0.7606,0.7606,0.7606,17664
